datetime,open,high,low,close,volume
2023-05-30 16:45:00+00:00,173.426,173.53,173.415,173.478,1530
2023-05-30 17:00:00+00:00,173.476,173.479,173.296,173.316,1568
2023-05-30 17:15:00+00:00,173.313,173.336,173.166,173.17,1430
2023-05-30 17:30:00+00:00,173.169,173.181,173.094,173.124,1692
2023-05-30 17:45:00+00:00,173.12,173.172,173.101,173.118,1394
2023-05-30 18:00:00+00:00,173.118,173.168,173.068,173.164,1409
2023-05-30 18:15:00+00:00,173.164,173.263,173.15,173.248,1237
2023-05-30 18:30:00+00:00,173.25,173.323,173.248,173.314,1158
2023-05-30 18:45:00+00:00,173.315,173.368,173.236,173.312,1701
2023-05-30 19:00:00+00:00,173.31,173.324,173.24,173.28,1468
2023-05-30 19:15:00+00:00,173.278,173.327,173.239,173.31,1374
2023-05-30 19:30:00+00:00,173.311,173.416,173.31,173.408,1260
2023-05-30 19:45:00+00:00,173.406,173.428,173.352,173.424,1369
2023-05-30 20:00:00+00:00,173.424,173.479,173.404,173.47,927
2023-05-30 20:15:00+00:00,173.472,173.476,173.422,173.451,646
2023-05-30 20:30:00+00:00,173.452,173.498,173.448,173.478,688
2023-05-30 20:45:00+00:00,173.48,173.524,173.478,173.512,500
2023-05-30 21:00:00+00:00,173.497,173.54,173.456,173.519,20
2023-05-30 21:15:00+00:00,173.511,173.547,173.484,173.514,32
2023-05-30 21:30:00+00:00,173.526,173.559,173.512,173.514,97
2023-05-30 21:45:00+00:00,173.514,173.537,173.507,173.536,182
2023-05-30 22:00:00+00:00,173.536,173.585,173.388,173.406,762
2023-05-30 22:15:00+00:00,173.402,173.462,173.385,173.436,1075
2023-05-30 22:30:00+00:00,173.437,173.474,173.41,173.456,680
2023-05-30 22:45:00+00:00,173.455,173.458,173.42,173.43,508
2023-05-30 23:00:00+00:00,173.429,173.468,173.406,173.41,494
2023-05-30 23:15:00+00:00,173.412,173.502,173.395,173.501,519
2023-05-30 23:30:00+00:00,173.502,173.534,173.447,173.496,947
2023-05-30 23:45:00+00:00,173.494,173.536,173.465,173.52,995
2023-05-31 00:00:00+00:00,173.518,173.574,173.38,173.556,2074
2023-05-31 00:15:00+00:00,173.554,173.582,173.482,173.482,1365
2023-05-31 00:30:00+00:00,173.482,173.504,173.42,173.436,1166
2023-05-31 00:45:00+00:00,173.436,173.618,173.436,173.507,2230
2023-05-31 01:00:00+00:00,173.507,173.569,173.442,173.524,1835
2023-05-31 01:15:00+00:00,173.522,173.626,173.502,173.568,1637
2023-05-31 01:30:00+00:00,173.569,173.652,173.402,173.406,2717
2023-05-31 01:45:00+00:00,173.409,173.428,173.316,173.342,1989
2023-05-31 02:00:00+00:00,173.34,173.38,173.3,173.347,1837
2023-05-31 02:15:00+00:00,173.348,173.368,173.242,173.27,1480
2023-05-31 02:30:00+00:00,173.272,173.29,173.244,173.244,1270
2023-05-31 02:45:00+00:00,173.247,173.248,173.205,173.227,1233
2023-05-31 03:00:00+00:00,173.226,173.266,173.166,173.23,1163
2023-05-31 03:15:00+00:00,173.232,173.258,173.197,173.24,942
2023-05-31 03:30:00+00:00,173.244,173.258,173.169,173.204,1131
2023-05-31 03:45:00+00:00,173.204,173.21,173.159,173.174,860
2023-05-31 04:00:00+00:00,173.174,173.272,173.13,173.27,1067
2023-05-31 04:15:00+00:00,173.273,173.298,173.245,173.269,991
2023-05-31 04:30:00+00:00,173.269,173.281,173.23,173.242,961
2023-05-31 04:45:00+00:00,173.242,173.281,173.224,173.25,914
2023-05-31 05:00:00+00:00,173.25,173.25,173.031,173.123,1754
2023-05-31 05:15:00+00:00,173.126,173.147,172.86,172.864,1737
2023-05-31 05:30:00+00:00,172.866,172.878,172.624,172.642,3632
2023-05-31 05:45:00+00:00,172.64,172.92,172.621,172.827,2758
2023-05-31 06:00:00+00:00,172.832,172.865,172.623,172.724,3172
2023-05-31 06:15:00+00:00,172.726,172.812,172.701,172.741,2586
2023-05-31 06:30:00+00:00,172.749,172.804,172.63,172.678,2238
2023-05-31 06:45:00+00:00,172.664,172.694,172.532,172.622,3063
2023-05-31 07:00:00+00:00,172.634,172.774,172.534,172.678,3778
