action,equity,position
BUY,9999.99973,1
BUY,9999.9996,1
BUY,10000.000049999999,1
BUY,9999.99959,1
BUY,9999.99793,1
BUY,9999.99605,1
BUY,9999.99395,1
BUY,9999.99114,1
BUY,9999.98942,1
BUY,9999.98822,1
BUY,9999.9872,1
BUY,9999.98656,1
BUY,9999.9856,1
BUY,9999.98367,1
BUY,9999.98135,1
BUY,9999.98031,1
BUY,9999.978710000001,1
BUY,9999.97723,1
BUY,9999.97572,1
BUY,9999.9748,1
BUY,9999.9751,1
BUY,9999.974339999999,1
BUY,9999.972899999999,1
BUY,9999.971339999998,1
BUY,9999.970859999998,1
BUY,9999.971449999997,1
BUY,9999.972729999998,1
BUY,9999.975319999998,1
BUY,9999.978329999998,1
BUY,9999.981429999998,1
BUY,9999.983229999998,1
BUY,9999.983769999997,1
BUY,9999.983499999997,1
BUY,9999.983979999997,1
BUY,9999.984179999998,1
BUY,9999.984129999997,1
BUY,9999.983869999996,1
BUY,9999.985289999997,1
BUY,9999.986379999997,1
BUY,9999.987339999996,1
BUY,9999.987719999996,1
BUY,9999.988479999996,1
BUY,9999.989009999996,1
BUY,9999.989439999996,1
BUY,9999.989239999995,1
BUY,9999.988979999995,1
BUY,9999.982299999994,1
BUY,9999.979149999994,1
BUY,9999.974929999993,1
BUY,9999.970709999992,1
BUY,9999.966029999992,1
BUY,9999.961089999992,1
BUY,9999.959049999992,1
BUY,9999.955929999993,1
BUY,9999.950789999994,1
BUY,9999.946409999993,1
BUY,9999.941479999994,1
BUY,9999.936319999993,1
BUY,9999.930299999993,1
BUY,9999.923449999993,1
BUY,9999.916599999993,1
BUY,9999.909699999993,1
BUY,9999.902639999993,1
BUY,9999.895499999993,1
BUY,9999.887369999993,1
BUY,9999.879009999993,1
BUY,9999.871369999993,1
BUY,9999.863959999993,1
BUY,9999.857069999993,1
BUY,9999.849559999993,1
BUY,9999.842289999993,1
BUY,9999.834589999993,1
BUY,9999.825749999993,1
BUY,9999.817079999993,1
BUY,9999.808569999994,1
BUY,9999.800589999993,1
BUY,9999.792349999994,1
BUY,9999.784109999995,1
BUY,9999.776569999995,1
BUY,9999.770259999994,1
BUY,9999.764159999993,1
BUY,9999.758059999993,1
BUY,9999.751279999993,1
BUY,9999.744539999992,1
BUY,9999.737539999993,1
BUY,9999.730919999993,1
BUY,9999.723859999993,1
BUY,9999.716679999992,1
BUY,9999.710619999993,1
BUY,9999.703829999993,1
BUY,9999.698189999994,1
BUY,9999.692689999994,1
BUY,9999.688179999994,1
BUY,9999.683479999994,1
BUY,9999.678439999994,1
BUY,9999.673929999994,1
BUY,9999.669199999993,1
BUY,9999.664309999993,1
BUY,9999.659809999994,1
BUY,9999.654259999994,1
BUY,9999.648699999994,1
BUY,9999.642579999994,1
BUY,9999.636379999994,1
BUY,9999.630299999995,1
BUY,9999.624079999996,1
BUY,9999.617539999996,1
BUY,9999.611459999996,1
BUY,9999.604959999997,1
BUY,9999.599079999996,1
BUY,9999.592499999997,1
BUY,9999.586119999996,1
BUY,9999.581009999996,1
BUY,9999.575789999997,1
BUY,9999.570909999997,1
BUY,9999.566129999997,1
BUY,9999.562589999998,1
BUY,9999.559909999998,1
BUY,9999.557169999998,1
BUY,9999.555129999999,1
BUY,9999.553409999999,1
BUY,9999.551109999999,1
BUY,9999.548549999998,1
BUY,9999.546599999998,1
BUY,9999.544959999997,1
BUY,9999.543319999997,1
BUY,9999.541079999997,1
BUY,9999.539519999997,1
BUY,9999.538619999998,1
BUY,9999.537359999998,1
BUY,9999.5356,1
BUY,9999.533519999999,1
BUY,9999.53226,1
BUY,9999.531069999999,1
BUY,9999.529149999998,1
BUY,9999.526409999999,1
BUY,9999.52343,1
BUY,9999.520069999999,1
BUY,9999.516829999999,1
BUY,9999.51449,1
BUY,9999.51225,1
BUY,9999.50965,1
BUY,9999.50695,1
BUY,9999.504550000001,1
BUY,9999.50271,1
BUY,9999.500810000001,1
BUY,9999.499200000002,1
BUY,9999.496460000002,1
BUY,9999.493200000003,1
BUY,9999.488980000002,1
BUY,9999.484080000002,1
BUY,9999.480160000003,1
BUY,9999.476800000002,1
BUY,9999.473700000002,1
BUY,9999.471160000003,1
BUY,9999.469140000003,1
BUY,9999.466520000004,1
BUY,9999.463860000003,1
BUY,9999.460860000003,1
BUY,9999.457760000003,1
BUY,9999.454880000003,1
BUY,9999.451350000003,1
BUY,9999.448690000003,1
BUY,9999.446480000002,1
BUY,9999.444500000003,1
BUY,9999.443460000004,1
BUY,9999.443020000004,1
BUY,9999.441460000004,1
BUY,9999.440160000004,1
BUY,9999.439440000004,1
BUY,9999.439040000003,1
BUY,9999.437940000003,1
BUY,9999.436820000003,1
BUY,9999.436160000003,1
BUY,9999.435240000003,1
BUY,9999.434060000003,1
BUY,9999.432660000004,1
BUY,9999.431320000003,1
BUY,9999.430260000003,1
BUY,9999.428900000003,1
BUY,9999.427090000003,1
BUY,9999.424570000003,1
BUY,9999.421920000003,1
BUY,9999.419180000003,1
BUY,9999.415430000003,1
BUY,9999.411270000002,1
BUY,9999.406630000003,1
BUY,9999.401350000004,1
BUY,9999.396370000004,1
BUY,9999.391610000004,1
BUY,9999.386650000004,1
BUY,9999.381020000004,1
BUY,9999.375840000004,1
BUY,9999.370620000005,1
BUY,9999.365120000006,1
BUY,9999.359920000006,1
BUY,9999.354790000007,1
BUY,9999.349410000006,1
BUY,9999.342680000007,1
BUY,9999.335240000008,1
BUY,9999.327860000009,1
BUY,9999.321040000008,1
BUY,9999.314180000008,1
BUY,9999.307680000009,1
BUY,9999.301640000009,1
BUY,9999.295220000009,1
BUY,9999.28880000001,1
BUY,9999.281920000009,1
BUY,9999.274710000009,1
BUY,9999.26878000001,1
BUY,9999.263480000009,1
BUY,9999.257650000009,1
BUY,9999.25381000001,1
BUY,9999.249730000009,1
BUY,9999.24631000001,1
BUY,9999.24229000001,1
BUY,9999.237930000008,1
BUY,9999.232940000009,1
BUY,9999.22781000001,1
BUY,9999.22285000001,1
BUY,9999.218620000009,1
BUY,9999.214020000009,1
BUY,9999.209620000009,1
BUY,9999.204230000008,1
BUY,9999.199070000008,1
BUY,9999.193370000008,1
BUY,9999.189040000008,1
BUY,9999.184620000009,1
BUY,9999.18049000001,1
BUY,9999.17696000001,1
BUY,9999.17326000001,1
BUY,9999.16818000001,1
BUY,9999.16391000001,1
BUY,9999.15923000001,1
BUY,9999.15505000001,1
BUY,9999.15028000001,1
BUY,9999.144930000011,1
BUY,9999.138960000011,1
BUY,9999.13300000001,1
BUY,9999.12834000001,1
BUY,9999.12479000001,1
BUY,9999.121730000012,1
BUY,9999.118630000012,1
BUY,9999.115450000012,1
BUY,9999.111550000012,1
BUY,9999.108370000013,1
BUY,9999.105700000013,1
BUY,9999.103720000014,1
BUY,9999.101900000014,1
BUY,9999.099820000014,1
BUY,9999.097580000014,1
BUY,9999.094420000014,1
BUY,9999.091560000013,1
BUY,9999.088180000013,1
BUY,9999.085750000013,1
BUY,9999.083420000014,1
BUY,9999.080480000013,1
BUY,9999.077920000012,1
BUY,9999.075500000012,1
BUY,9999.073460000012,1
BUY,9999.071260000012,1
BUY,9999.069100000012,1
BUY,9999.066520000011,1
BUY,9999.06244000001,1
BUY,9999.058240000011,1
BUY,9999.054060000011,1
BUY,9999.05012000001,1
BUY,9999.04646000001,1
BUY,9999.042980000011,1
