equity,drawdown,position
9999.99973,2.700000004551839e-08,1
9999.9996,4.000000008090865e-08,1
10000.000049999999,0.0,1
9999.99959,4.599999969933591e-08,1
9999.99793,2.1199999885949885e-07,1
9999.99605,3.9999999789959184e-07,1
9999.99395,6.099999968196149e-07,1
9999.99114,8.909999954100166e-07,1
9999.98942,1.0629999945705057e-06,1
9999.98822,1.1829999940313327e-06,1
9999.9872,1.2849999934911811e-06,1
9999.98656,1.3489999931914957e-06,1
9999.9856,1.444999992651018e-06,1
9999.98367,1.6379999917216993e-06,1
9999.98135,1.8699999905216523e-06,1
9999.98031,1.9739999899209767e-06,1
9999.978710000001,2.1339999890808134e-06,1
9999.97723,2.281999988421897e-06,1
9999.97572,2.4329999876721934e-06,1
9999.9748,2.5249999872527644e-06,1
9999.9751,2.4949999874330324e-06,1
9999.974339999999,2.570999987133999e-06,1
9999.972899999999,2.714999986414232e-06,1
9999.971339999998,2.870999985695117e-06,1
9999.970859999998,2.918999985515828e-06,1
9999.971449999997,2.8599999858461016e-06,1
9999.972729999998,2.731999986445473e-06,1
9999.975319999998,2.4729999877350013e-06,1
9999.978329999998,2.171999989204145e-06,1
9999.981429999998,1.8619999907637494e-06,1
9999.983229999998,1.6819999916634583e-06,1
9999.983769999997,1.6279999920243205e-06,1
9999.983499999997,1.6549999919348388e-06,1
9999.983979999997,1.6069999921141284e-06,1
9999.984179999998,1.586999992173674e-06,1
9999.984129999997,1.5919999922042624e-06,1
9999.983869999996,1.6179999921450427e-06,1
9999.985289999997,1.4759999928042856e-06,1
9999.986379999997,1.3669999933743732e-06,1
9999.987339999996,1.270999993914851e-06,1
9999.987719999996,1.232999994155317e-06,1
9999.988479999996,1.15699999445435e-06,1
9999.989009999996,1.10399999478495e-06,1
9999.989439999996,1.0609999949948278e-06,1
9999.989239999995,1.0809999949352822e-06,1
9999.988979999995,1.1069999948760626e-06,1
9999.982299999994,1.7749999915775649e-06,1
9999.979149999994,2.089999990048549e-06,1
9999.974929999993,2.51199998800997e-06,1
9999.970709999992,2.9339999859713906e-06,1
9999.966029999992,3.4019999836321473e-06,1
9999.961089999992,3.895999981233685e-06,1
9999.959049999992,4.099999980153382e-06,1
9999.955929999993,4.411999978533253e-06,1
9999.950789999994,4.925999975893346e-06,1
9999.946409999993,5.36399997373437e-06,1
9999.941479999994,5.856999971184271e-06,1
9999.936319999993,6.372999968665739e-06,1
9999.930299999993,6.9749999657274504e-06,1
9999.923449999993,7.659999962278294e-06,1
9999.916599999993,8.344999958829137e-06,1
9999.909699999993,9.03499995541057e-06,1
9999.902639999993,9.740999951871607e-06,1
9999.895499999993,1.0454999948272444e-05,1
9999.887369999993,1.1267999944223917e-05,1
9999.879009999993,1.2103999940025058e-05,1
9999.871369999993,1.2867999936186082e-05,1
9999.863959999993,1.3608999932497439e-05,1
9999.857069999993,1.4297999929109134e-05,1
9999.849559999993,1.5048999925299767e-05,1
9999.842289999993,1.5775999921670997e-05,1
9999.834589999993,1.6545999917832346e-05,1
9999.825749999993,1.74299999134542e-05,1
9999.817079999993,1.829699990904481e-05,1
9999.808569999994,1.9147999904755814e-05,1
9999.800589999993,1.9945999900797424e-05,1
9999.792349999994,2.076999989659791e-05,1
9999.784109999995,2.15939998923984e-05,1
9999.776569999995,2.2347999888680145e-05,1
9999.770259999994,2.297899988559185e-05,1
9999.764159999993,2.3588999882593367e-05,1
9999.758059999993,2.419899987959488e-05,1
9999.751279999993,2.487699987617566e-05,1
9999.744539999992,2.5550999872877488e-05,1
9999.737539999993,2.62509998693382e-05,1
9999.730919999993,2.6912999866039376e-05,1
9999.723859999993,2.761899986250041e-05,1
9999.716679999992,7.180198274512042e-07,1
