step,action,pre_position,post_position,pre_equity,post_equity,reward,cost_incurred
1,BUY,0,1,10000.0,9999.99973,0.44972999999954477,0.0
2,BUY,1,1,9999.99973,9999.9996,0.44986999999964605,0.0
3,BUY,1,1,9999.9996,10000.000049999999,0.45044999999954594,0.0
4,BUY,1,1,10000.000049999999,9999.99959,0.4495400000007066,0.0
5,BUY,1,1,9999.99959,9999.99793,0.4483400000000983,0.0
6,BUY,1,1,9999.99793,9999.99605,0.448120000000199,0.0
7,BUY,1,1,9999.99605,9999.99395,0.4479000000002997,0.0
8,BUY,1,1,9999.99395,9999.99114,0.44719000000004594,0.0
9,BUY,1,1,9999.99114,9999.98942,0.44827999999979506,0.0
10,BUY,1,1,9999.98942,9999.98822,0.4487999999993917,0.0
11,BUY,1,1,9999.98822,9999.9872,0.44898000000030147,0.0
12,BUY,1,1,9999.9872,9999.98656,0.4493599999997968,0.0
13,BUY,1,1,9999.98656,9999.9856,0.44904000000060473,0.0
14,BUY,1,1,9999.9856,9999.98367,0.44806999999964314,0.0
15,BUY,1,1,9999.98367,9999.98135,0.4476800000004004,0.0
16,BUY,1,1,9999.98135,9999.98031,0.4489600000008067,0.0
17,BUY,1,1,9999.98031,9999.978710000001,0.4484000000004016,0.0
18,BUY,1,1,9999.978710000001,9999.97723,0.4485199999991891,0.0
19,BUY,1,1,9999.97723,9999.97572,0.448489999999947,0.0
20,BUY,1,1,9999.97572,9999.9748,0.44907999999959425,0.0
21,BUY,1,1,9999.9748,9999.9751,0.4502999999996973,0.0
22,BUY,1,1,9999.9751,9999.974339999999,0.4492399999991903,0.0
23,BUY,1,1,9999.974339999999,9999.972899999999,0.4485599999999976,0.0
24,BUY,1,1,9999.972899999999,9999.971339999998,0.4484399999993911,0.0
25,BUY,1,1,9999.971339999998,9999.970859999998,0.44951999999939285,0.0
26,BUY,1,1,9999.970859999998,9999.971449999997,0.4505899999996472,0.0
27,BUY,1,1,9999.971449999997,9999.972729999998,0.45128000000040625,0.0
28,BUY,1,1,9999.972729999998,9999.975319999998,0.45259000000005467,0.0
29,BUY,1,1,9999.975319999998,9999.978329999998,0.4530100000003585,0.0
30,BUY,1,1,9999.978329999998,9999.981429999998,0.4530999999999039,0.0
31,BUY,1,1,9999.981429999998,9999.983229999998,0.45180000000000287,0.0
32,BUY,1,1,9999.983229999998,9999.983769999997,0.45053999999909133,0.0
33,BUY,1,1,9999.983769999997,9999.983499999997,0.44972999999954477,0.0
34,BUY,1,1,9999.983499999997,9999.983979999997,0.45048000000060706,0.0
35,BUY,1,1,9999.983979999997,9999.984179999998,0.4502000000004045,0.0
36,BUY,1,1,9999.984179999998,9999.984129999997,0.4499499999994441,0.0
37,BUY,1,1,9999.984129999997,9999.983869999996,0.44973999999929215,0.0
38,BUY,1,1,9999.983869999996,9999.985289999997,0.4514200000005075,0.0
39,BUY,1,1,9999.985289999997,9999.986379999997,0.4510899999997491,0.0
40,BUY,1,1,9999.986379999997,9999.987339999996,0.4509599999993952,0.0
41,BUY,1,1,9999.987339999996,9999.987719999996,0.4503799999994953,0.0
42,BUY,1,1,9999.987719999996,9999.988479999996,0.4507600000008096,0.0
43,BUY,1,1,9999.988479999996,9999.989009999996,0.45052999999934396,0.0
44,BUY,1,1,9999.989009999996,9999.989439999996,0.4504300000000512,0.0
45,BUY,1,1,9999.989439999996,9999.989239999995,0.4497999999995954,0.0
46,BUY,1,1,9999.989239999995,9999.988979999995,0.44973999999929215,0.0
47,BUY,1,1,9999.988979999995,9999.982299999994,0.44331999999958493,0.0
48,BUY,1,1,9999.982299999994,9999.979149999994,0.4468499999995401,0.0
49,BUY,1,1,9999.979149999994,9999.974929999993,0.44577999999928575,0.0
50,BUY,1,1,9999.974929999993,9999.970709999992,0.44577999999928575,0.0
51,BUY,1,1,9999.970709999992,9999.966029999992,0.4453199999999924,0.0
52,BUY,1,1,9999.966029999992,9999.961089999992,0.4450599999992846,0.0
53,BUY,1,1,9999.961089999992,9999.959049999992,0.447960000000603,0.0
54,BUY,1,1,9999.959049999992,9999.955929999993,0.44688000000060124,0.0
55,BUY,1,1,9999.955929999993,9999.950789999994,0.44486000000069903,0.0
56,BUY,1,1,9999.950789999994,9999.946409999993,0.4456199999996897,0.0
57,BUY,1,1,9999.946409999993,9999.941479999994,0.44507000000085095,0.0
58,BUY,1,1,9999.941479999994,9999.936319999993,0.4448399999993853,0.0
59,BUY,1,1,9999.936319999993,9999.930299999993,0.44397999999928284,0.0
60,BUY,1,1,9999.930299999993,9999.923449999993,0.4431500000002415,0.0
61,BUY,1,1,9999.923449999993,9999.916599999993,0.4431500000002415,0.0
62,BUY,1,1,9999.916599999993,9999.909699999993,0.44309999999968563,0.0
63,BUY,1,1,9999.909699999993,9999.902639999993,0.4429400000000896,0.0
64,BUY,1,1,9999.902639999993,9999.895499999993,0.4428600000002916,0.0
65,BUY,1,1,9999.895499999993,9999.887369999993,0.44186999999983523,0.0
66,BUY,1,1,9999.887369999993,9999.879009999993,0.44164000000018855,0.0
67,BUY,1,1,9999.879009999993,9999.871369999993,0.4423600000001897,0.0
68,BUY,1,1,9999.871369999993,9999.863959999993,0.4425899999998364,0.0
69,BUY,1,1,9999.863959999993,9999.857069999993,0.443109999999433,0.0
70,BUY,1,1,9999.857069999993,9999.849559999993,0.4424900000005436,0.0
71,BUY,1,1,9999.849559999993,9999.842289999993,0.4427299999999377,0.0
72,BUY,1,1,9999.842289999993,9999.834589999993,0.44229999999988645,0.0
73,BUY,1,1,9999.834589999993,9999.825749999993,0.44115999999958144,0.0
74,BUY,1,1,9999.825749999993,9999.817079999993,0.44133000000074385,0.0
75,BUY,1,1,9999.817079999993,9999.808569999994,0.4414900000003399,0.0
76,BUY,1,1,9999.808569999994,9999.800589999993,0.4420199999996839,0.0
